fecha,casos_confirmados,ingresos_hospitalarios,ingresos_uci,fallecimientos,casos_personal_sanitario,altas,confirmados_dia,total_personas,fallecimientos_dia,altas_dia,ingresos_hospitalarios_dia,ingresos_uci_dia,casos_personal_sanitario_dia,diferencia_confirmados_activos,diferencia_confirmados_dia,diferencia_fallecimientos_dia,diferencia_altas_dia,diferencia_ingresos_hospitalarios_dia,diferencia_ingresos_uci_dia,diferencia_casos_personal_sanitario_dia,incidencias,confirmados_activos,porcentaje_ingresos_confirmados,porcentaje_uci_confirmados,porcentaje_fallecimiento_confirmados,porcentaje_sanitarios_confirmados,porcentaje_altas_confirmados,porcentaje_personas_confirmadas
01/05/2020,572,239,33,72,118,264,2,134137,0,16,1,1,0,-14,-2,-1,3,1,1,-2,,236,41.78,5.77,12.59,20.63,46.15,0.43
02/05/2020,573,239,33,74,117,270,1,134137,2,6,0,0,-1,-7,-1,2,-10,-1,-1,-1,,229,41.71,5.76,12.91,20.42,47.12,0.43
03/05/2020,573,240,33,74,117,302,0,134137,0,32,1,0,0,-32,-1,-2,26,1,0,1,,197,41.88,5.76,12.91,20.42,52.71,0.43
04/05/2020,574,242,33,74,117,303,1,134137,0,1,2,0,0,0,1,0,-31,1,0,0,,197,42.16,5.75,12.89,20.38,52.79,0.43
05/05/2020,575,242,33,74,117,315,1,134137,0,12,0,0,0,-11,0,0,11,-2,0,0,,186,42.09,5.74,12.87,20.35,54.78,0.43
06/05/2020,601,244,33,76,122,322,26,134137,2,7,2,0,5,17,25,2,-5,2,0,5,,203,40.6,5.49,12.65,20.3,53.58,0.45
07/05/2020,606,245,33,80,124,333,5,134137,4,11,1,0,2,-10,-21,2,4,-1,0,-3,,193,40.43,5.45,13.2,20.46,54.95,0.45
08/05/2020,611,247,33,80,124,336,5,134137,0,3,2,0,0,2,0,-4,-8,1,0,-2,,195,40.43,5.4,13.09,20.29,54.99,0.46
09/05/2020,621,247,33,81,128,341,10,134137,1,5,0,0,4,4,5,1,2,-2,0,4,,199,39.77,5.31,13.04,20.61,54.91,0.46
10/05/2020,623,247,33,81,128,347,2,134137,0,6,0,0,0,-4,-8,-1,1,0,0,-4,,195,39.65,5.3,13.0,20.55,55.7,0.46
11/05/2020,624,248,33,81,128,354,1,134137,0,7,1,0,0,-6,-1,0,1,1,0,0,,189,39.74,5.29,12.98,20.51,56.73,0.47
12/05/2020,631,249,33,82,129,354,7,134137,1,0,1,0,1,6,6,1,-7,0,0,1,,195,39.46,5.23,13.0,20.44,56.1,0.47
13/05/2020,637,249,33,83,131,358,6,134137,1,4,0,0,2,1,-1,0,4,-1,0,1,,196,39.09,5.18,13.03,20.57,56.2,0.47
14/05/2020,643,251,33,83,132,363,6,134137,0,5,2,0,1,1,0,-1,1,2,0,-1,,197,39.04,5.13,12.91,20.53,56.45,0.48
15/05/2020,646,252,33,83,133,365,3,134137,0,2,1,0,1,1,-3,0,-3,-1,0,0,,198,39.01,5.11,12.85,20.59,56.5,0.48
16/05/2020,663,254,33,83,133,376,17,134137,0,11,2,0,0,6,14,0,9,1,0,-1,,204,38.31,4.98,12.52,20.06,56.71,0.49
17/05/2020,664,254,33,83,133,378,1,134137,0,2,0,0,0,-1,-16,0,-9,-2,0,0,,203,38.25,4.97,12.5,20.03,56.93,0.5
